UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rad/s],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M14860,1,298.1,308.6,162.42034019059233,42.8,0,0,0,0,0,0,0
2,L47181,0,298.2,308.7,147.44541520848094,46.3,3,0,0,0,0,0,0
3,L47182,0,298.1,308.5,156.87019316925034,49.4,5,0,0,0,0,0,0
4,L47183,0,298.2,308.6,150.06340908647243,39.5,7,0,0,0,0,0,0
5,L47184,0,298.2,308.7,147.44541520848094,40.0,9,0,0,0,0,0,0
6,M14865,1,298.1,308.6,149.22565104551515,41.9,11,0,0,0,0,0,0
7,L47186,0,298.1,308.6,163.1533784764299,42.4,14,0,0,0,0,0,0
8,L47187,0,298.1,308.6,159.90706606772045,40.2,16,0,0,0,0,0,0
9,M14868,1,298.3,308.7,174.56783178447282,28.6,18,0,0,0,0,0,0
10,M14869,1,298.5,309.0,182.31709366332768,28.0,21,0,0,0,0,0,0
11,H29424,2,298.4,308.9,186.61060362323371,23.9,24,0,0,0,0,0,0
12,H29425,2,298.6,309.1,149.01621153527586,44.3,29,0,0,0,0,0,0
13,M14872,1,298.6,309.1,140.21975210522444,51.1,34,0,0,0,0,0,0
14,M14873,1,298.6,309.2,182.4218134184473,30.0,37,0,0,0,0,0,0
15,L47194,0,298.6,309.2,213.10470166850763,19.6,40,0,0,0,0,0,0
16,L47195,0,298.6,309.2,161.47786239451537,48.4,42,0,0,0,0,0,0
17,M14876,1,298.6,309.2,137.28759896187395,46.6,44,0,0,0,0,0,0
18,M14877,1,298.7,309.2,147.6548547187203,45.6,47,0,0,0,0,0,0
19,H29432,2,298.8,309.2,136.76400018627567,54.5,50,0,0,0,0,0,0
20,M14879,1,298.9,309.3,170.90264035528475,32.5,55,0,0,0,0,0,0
21,H29434,2,298.9,309.3,143.98966328953216,42.7,58,0,0,0,0,0,0
22,L47201,0,298.8,309.3,151.84364492350664,44.8,63,0,0,0,0,0,0
23,M14882,1,298.9,309.3,165.5619328441821,30.7,65,0,0,0,0,0,0
24,L47203,0,299.0,309.4,184.09732950036187,25.7,68,0,0,0,0,0,0
25,M14884,1,299.0,309.4,163.4675377417889,37.3,70,0,0,0,0,0,0
26,L47205,0,299.0,309.5,194.88346427768684,23.3,73,0,0,0,0,0,0
27,L47206,0,299.1,309.5,158.3362697409256,39.0,75,0,0,0,0,0,0
28,H29441,2,299.1,309.4,189.64747652170385,24.6,77,0,0,0,0,0,0
29,L47208,0,299.1,309.4,150.6917276171904,44.2,82,0,0,0,0,0,0
30,L47209,0,299.0,309.4,177.29054541758398,30.1,84,0,0,0,0,0,0
31,M14890,1,299.1,309.5,140.21975210522444,48.2,86,0,0,0,0,0,0
32,L47211,0,299.0,309.4,188.28611970514828,25.5,89,0,0,0,0,0,0
33,L47212,0,299.0,309.4,148.59733251479722,48.3,91,0,0,0,0,0,0
34,L47213,0,298.9,309.3,174.35839227423352,32.5,93,0,0,0,0,0,0
35,M14894,1,298.8,309.1,163.25809823154958,34.7,95,0,0,0,0,0,0
36,M14895,1,298.8,309.2,152.053084433746,48.6,98,0,0,0,0,0,0
37,M14896,1,298.9,309.2,165.5619328441821,36.7,101,0,0,0,0,0,0
38,L47217,0,298.8,309.1,150.6917276171904,39.2,104,0,0,0,0,0,0
39,H29452,2,298.9,309.2,144.40854231001083,50.7,106,0,0,0,0,0,0
40,L47219,0,298.8,309.1,141.3716694115407,52.5,111,0,0,0,0,0,0
41,L47220,0,298.8,309.1,142.6283064729766,45.4,113,0,0,0,0,0,0
42,L47221,0,298.8,309.1,143.25662500369455,50.8,115,0,0,0,0,0,0
43,M14902,1,298.8,309.1,143.25662500369455,49.1,117,0,0,0,0,0,0
44,H29457,2,298.8,309.2,143.67550402417322,48.5,120,0,0,0,0,0,0
45,M14904,1,298.8,309.1,154.14747953613917,47.5,125,0,0,0,0,0,0
